NAME, Part, Lon, Lat
Law, 1, -75.64852, 41.1873
Law, 1, -75.64423, 41.1828
Law, 1, -75.64392, 41.17661
Law, 1, -75.63802, 41.1749
Law, 1, -75.63391, 41.1703
Law, 1, -75.62462, 41.16969
Law, 1, -75.62082, 41.1707
Law, 1, -75.61472, 41.17059
Law, 1, -75.61241, 41.1647
Law, 1, -75.60642, 41.16409
Law, 1, -75.60062, 41.16161
Law, 1, -75.6039, 41.15669
Law, 1, -75.60542, 41.15089
Law, 1, -75.61151, 41.1503
Law, 1, -75.61463, 41.1447
Law, 1, -75.61992, 41.14169
Law, 1, -75.62462, 41.138
Law, 1, -75.63281, 41.125
Law, 1, -75.63712, 41.125
Law, 1, -75.64342, 41.1263
Law, 1, -75.64823, 41.125
Law, 1, -75.64862, 41.1223
Law, 1, -75.65302, 41.1174
Law, 1, -75.65732, 41.1216
Law, 1, -75.65752, 41.125
Law, 1, -75.66652, 41.1335
Law, 1, -75.67302, 41.13251
Law, 1, -75.67941, 41.13271
Law, 1, -75.68521, 41.12981
Law, 1, -75.69182, 41.131
Law, 1, -75.69742, 41.1286
Law, 1, -75.70201, 41.125
Law, 1, -75.70702, 41.1227
Law, 1, -75.70712, 41.1167
Law, 1, -75.71301, 41.118
Law, 1, -75.71904, 41.1171
Law, 1, -75.72112, 41.1109
Law, 1, -75.72712, 41.10851
Law, 1, -75.73142, 41.1039
Law, 1, -75.73742, 41.10181
Law, 1, -75.74332, 41.10249
Law, 1, -75.74962, 41.104
Law, 1, -75.75303, 41.10291
Law, 1, -75.75252, 41.0968
Law, 1, -75.75781, 41.0925
Law, 1, -75.76413, 41.0941
Law, 1, -75.76743, 41.0822
Law, 1, -75.77123, 41.0766
Law, 1, -75.76962, 41.0704
Law, 1, -75.76952, 41.0674
Law, 1, -75.76932, 41.0638
Law, 1, -75.77073, 41.05769
Law, 1, -75.77093, 41.05161
Law, 1, -75.76772, 41.047
Law, 1, -75.76243, 41.0425
Law, 1, -75.75922, 41.0368
Law, 1, -75.75562, 41.0318
Law, 1, -75.74302, 41.03191
Law, 1, -75.73874, 41.0276
Law, 1, -75.73893, 41.02139
Law, 1, -75.73673, 41.0155
Law, 1, -75.73362, 41.00999
